POI_ID *,LATITUDE,LONGTITUDE,STREET_NO,STREET,CITY,PROVINCE,COUNTRY,POSTAL_CODE,BRAND_NAME,FEATURE_NAME
11128100006,21.70216,-102.313646,,,AGUASCALIENTES,AGUASCALIENTES,MX,,JESUS TERAN INTL,AGU
11128100007,15.7681,-96.257986,,,SANTA CRUZ,OAXACA,MX,,BAHIAS DE HUATULCO,HUX
11128100008,18.829454,-99.259516,,,CUERNAVACA,MORELOS,MX,,GEN MARIANO MATAMOROS,CVJ
11128100009,29.330507,-100.976434,,,CIUDAD ACUÑA,COAHUILA,MX,,CIUDAD ACUÑA,ACN
11128100010,18.649831,-91.805563,,,CIUDAD DEL CARMEN,CAMPECHE,MX,,CIUDAD DEL CARMEN,CME
11128100011,30.40565,-107.8756,,,NUEVO CASAS GRANDES,CHIHUAHUA,MX,,NUEVO CASAS GRANDES,NCG
11128100012,17.572553,-99.512688,,,CHILPANCINGO,GUERRERO,MX,,CHILPANCINGO,MMCH
11128100013,24.77459,-107.466423,,,CULIACAN,SINALOA,MX,,FED DE BACHIGUALATO INTL,CUL
11128100014,18.50679,-88.32419,,,CHETUMAL,QUINTANA ROO,MX,,CHETUMAL,CTM
11128100015,27.402848,-109.826781,,,CIUDAD OBREGÓN,SONORA,MX,,CIUDAD OBREGÓN,CEN
11128100016,16.170569,-92.054567,,,COMITÁN,CHIAPAS,MX,,SAN ANTONIO COPALAR,CJT
11128100017,19.814253,-90.50695,,,CAMPECHE,CAMPECHE,MX,,ING ALBERTO ACUÑA ONGAY,CPE
11128100018,31.638248,-106.437716,,,CIUDAD JUÁREZ,CHIHUAHUA,MX,,ABRAHAM GONZALEZ INTL,CJS
11128100019,20.637059,-88.451546,,,CHICHEN ITZA,YUCATAN,MX,,CHICHEN ITZA,CZA
11128100020,28.704312,-105.971108,,,CHIHUAHUA,CHIHUAHUA,MX,,GEN ROBERTO FIERRO VILLALOBOS,CUU
11128100021,23.71611,-98.95655,,,CIUDAD VICTORIA,TAMAULIPAS,MX,,GEN PEDRO J. MÉNDEZ,CVM
11128100022,20.545918,-100.897068,,,CELAYA,GUANAJUATO,MX,,CAPTAIN ROGELIO CASTILLO,MMCY
11128100023,20.509922,-86.930473,,,COZUMEL,QUINTANA ROO,MX,,COZUMEL,CZM
11128100024,22.74948,-99.01535,,,CIUDAD MANTE,TAMAULIPAS,MX,,CUAUHTEMOC,MMC
11128100025,24.125809,-104.53908,,,DURANGO,DURANGO,MX,,GEN GUADALUPE VICTORIA,DGO
11128100026,21.415969,-104.835083,,,TEPIC,NAYARIT,MX,,AMADO NERVO NAT'L,TPQ
11128100027,31.79912,-116.59463,,,ENSENADA,BC,MX,,GEN ALBERTO L SALINAS,ESE
11128100029,27.969581,-110.920824,,,GUAYMAS,SONORA,MX,,GENERAL JOSÉ MARÍA YÁÑEZ INT'L,GYM
11128100030,28.024595,-114.011108,,,,BCN,MX,,GUERRERO NEGRO,GUB
11128100031,20.911759,-101.344414,,,GUANAJUATO,GUANAJUATO,MX,,LOS INFANTES,MMGT
11128100032,18.49196,-97.419405,,,TEHUACÁN,PUEBLA,MX,,TEHUACÁN,TCN
11128100033,29.089849,-111.047063,,,HERMOSILLO,SONORA,MX,,GEN IGNACIO PESQUEIRA GARCIA,HMO
11128100034,19.282245,-103.579939,,,COLIMA,COLIMA,MX,,LIC MIGUEL DE LA MADRID,CLQ
11128100035,21.245841,-86.739579,,,ISLA MUJERES,QUINTANA ROO,MX,,ISLA MUJERES,ISJ
11128100036,25.549465,-100.933871,,,SALTILLO,COAHUILA,MX,,PLAN DE GUADALUPE INTL,SLW
11128100037,16.450802,-95.085033,,,IXTEPEC,OAXACA,MX,,IXTEPEC,IZT
11128100038,19.476958,-96.7906,,,JALAPA,VERACRUZ,MX,,EL LENCERO,JAL
11128100039,17.996472,-102.22345,,,LÁZARO CÁRDENAS,MICHOACÁN DE OCAMPO,MX,,LÁZARO CÁRDENAS,LZC
11128100040,25.691573,-109.081887,,,LOS MOCHIS,SINALOA,MX,,VALLE DEL FUERTE INTERNATIONAL,LMM
11128100041,20.981447,-101.480261,,,SILAO,GUANAJUATO,MX,,GUANAJUATO INTL,BJX
11128100042,24.091746,-110.367878,,,LA PAZ,BAJA CALIFORNIA SUR,MX,,GEN MANUEL MARQUEZ DE LEON,LAP
11128100043,25.9884,-111.367022,,,LORETO,BAJA CALIFORNIA SUR,MX,,LORETO,LTO
11128100044,25.773052,-97.536805,,,MATAMOROS,TAMAULIPAS,MX,,GEN SERVANDO CANALES INTL,MAM
11128100045,20.937004,-89.667852,,,MERIDA,YUCATAN,MX,,LIC MANUEL CRECENCIO REJON,MID
11128100046,26.903672,-111.964356,,,MULEGE,BCS,MX,,MULEGE,MUG
11128100047,32.627167,-115.25037,,,MEXICALI,BC,MX,,GEN RODOLFO SÁNCHEZ TABOADA,MXL
11128100048,19.84002,-101.02339,,,MORELIA,MICHOACAN,MX,,GEN FRANCISCO J MUJICA INTL,MLM
11128100049,18.102133,-94.574153,,,MINATITLAN,VERACRUZ,MX,,MINATITLÁN/COATZACOALCOS NAT'L,MTT
11128100050,26.954527,-101.458288,,,MONCLOVA,COAHUILA,MX,,VENUSTIANO CARRANZA INT'L,LOV
